No,일자,택배지점,터미널,집배점,배송완료 대상건수,배송 예정시간내 건수,배송 예정 시간내 완료율
477.0,20260518,울산,울산,무거(집),1336.0,1162.0,87%
478.0,20260518,울산,울산,반구(집),571.0,562.0,98.4%
479.0,20260518,울산,울산,삼산(집),2228.0,2167.0,97.3%
480.0,20260518,울산,울산달동,달동(집),1330.0,1116.0,83.9%
481.0,20260518,울산,울산동구,울산동구(집),685.0,520.0,75.9%
482.0,20260518,울산,울산동구,전하(집),1077.0,985.0,91.5%
483.0,20260518,울산,울주,언양(집),924.0,837.0,90.6%
484.0,20260518,울산,울주,울주온양2(집),712.0,673.0,94.5%
485.0,20260518,원주,단양,단양(집),325.0,194.0,59.7%
486.0,20260518,원주,서원주,지정(집),679.0,650.0,95.7%
487.0,20260518,원주,서원주,태장(집),343.0,338.0,98.5%
488.0,20260518,원주,여주,여주(집),1789.0,1449.0,81%
489.0,20260518,원주,영월,영월(집),491.0,436.0,88.8%
490.0,20260518,원주,원주,단계(집),1312.0,1096.0,83.5%
491.0,20260518,원주,원주,단구(집),497.0,493.0,99.2%
492.0,20260518,원주,원주,원주관설(집),729.0,711.0,97.5%
493.0,20260518,원주,원주,원주문막(집),698.0,663.0,95%
494.0,20260518,원주,원주,원주중앙(집),409.0,401.0,98%
495.0,20260518,원주,정선,고한(집),154.0,154.0,100%
496.0,20260518,원주,정선,정선(집),330.0,292.0,88.5%
497.0,20260518,원주,제천,제천장락(집),647.0,465.0,71.9%
498.0,20260518,원주,제천,제천중앙(집),757.0,525.0,69.4%
499.0,20260518,원주,태백,태백(집),704.0,435.0,61.8%
500.0,20260518,원주,평창,평창(집),476.0,384.0,80.7%
501.0,20260518,원주,횡성,횡성(집),729.0,528.0,72.4%
502.0,20260518,인천,남인천,인천용현(집),686.0,618.0,90.1%
503.0,20260518,인천,남인천,인천학익(집),1234.0,1087.0,88.1%
504.0,20260518,인천,남인천,주안(집),625.0,617.0,98.7%
505.0,20260518,인천,동인천,간석남(집),432.0,423.0,97.9%
506.0,20260518,인천,동인천,간석서(집),358.0,330.0,92.2%
507.0,20260518,인천,동인천,고잔(집),99.0,99.0,100%
508.0,20260518,인천,동인천,인천논현(집),1079.0,1034.0,95.8%
509.0,20260518,인천,동인천,인천동구(집),417.0,362.0,86.8%
510.0,20260518,인천,연수,동춘(집),1282.0,1276.0,99.5%
511.0,20260518,인천,연수,송도(집),730.0,671.0,91.9%
512.0,20260518,인천,연수,송도국제(집),1664.0,1422.0,85.5%
513.0,20260518,인천,연수,청학(집),314.0,222.0,70.7%
514.0,20260518,인천,인천,숭의(집),877.0,848.0,96.7%
515.0,20260518,인천,인천,영종도(집),1703.0,1698.0,99.7%
516.0,20260518,인천,인천,인천중구(집),452.0,444.0,98.2%
517.0,20260518,인천,인천남동,구월(집),953.0,937.0,98.3%
518.0,20260518,인천,인천남동,만수(집),1270.0,1264.0,99.5%
519.0,20260518,일산,성석1(일산),일산마두(집),592.0,557.0,94.1%
520.0,20260518,일산,성석1(일산),일산성석(집),740.0,648.0,87.6%
521.0,20260518,일산,성석1(일산),일산장항(집),819.0,692.0,84.5%
522.0,20260518,일산,성석1(일산),일산중산(집),976.0,959.0,98.3%
523.0,20260518,일산,성석2(덕양),덕양성사(집),453.0,443.0,97.8%
524.0,20260518,일산,성석2(덕양),덕양신원(집),789.0,702.0,89%
525.0,20260518,일산,성석2(덕양),덕양원당(집),309.0,268.0,86.7%
526.0,20260518,일산,성석2(덕양),덕양지축(집),752.0,500.0,66.5%
527.0,20260518,일산,성석2(덕양),덕양토당(집),526.0,525.0,99.8%
528.0,20260518,일산,성석2(덕양),덕양화정(집),1367.0,1352.0,98.9%
529.0,20260518,일산,성석2(덕양),향동(집),476.0,445.0,93.5%
530.0,20260518,일산,일산서구,대화(집),632.0,589.0,93.2%
531.0,20260518,일산,일산서구,일산덕이(집),1073.0,991.0,92.4%
532.0,20260518,일산,일산서구,일산중앙(집),845.0,835.0,98.8%
533.0,20260518,일산,주교(은평),갈현(집),1556.0,1283.0,82.5%
534.0,20260518,일산,주교(은평),불광(집),975.0,843.0,86.5%
535.0,20260518,일산,주교(은평),은평신사(집),808.0,738.0,91.3%
536.0,20260518,일산,주교(은평),진관(집),449.0,406.0,90.4%
537.0,20260518,일산,파주,금촌(집),1299.0,1155.0,88.9%
538.0,20260518,일산,파주,파주광탄(집),620.0,548.0,88.4%
539.0,20260518,일산,파주,파주조리(집),851.0,835.0,98.1%
540.0,20260518,일산,파주운정,동패(집),1611.0,1503.0,93.3%
541.0,20260518,일산,파주운정,운정(집),1548.0,1287.0,83.1%
542.0,20260518,전주,군산,군산수송(집),487.0,421.0,86.4%
543.0,20260518,전주,군산,군산조촌(집),1041.0,918.0,88.2%
544.0,20260518,전주,군산,군산지곡(집),1246.0,1082.0,86.8%
545.0,20260518,전주,김제,김제(집),781.0,734.0,94%
546.0,20260518,전주,남원,남원(집),824.0,650.0,78.9%
547.0,20260518,전주,덕진,금암(집),1366.0,1347.0,98.6%
548.0,20260518,전주,덕진,송천(집),1497.0,1429.0,95.5%
549.0,20260518,전주,덕진,호성(집),1002.0,870.0,86.8%
550.0,20260518,전주,서천,서천(집),469.0,430.0,91.7%
551.0,20260518,전주,익산,익산모현(집),1079.0,1029.0,95.4%
552.0,20260518,전주,익산,익산어양(집),840.0,800.0,95.2%
553.0,20260518,전주,익산,평화(집),897.0,856.0,95.4%
554.0,20260518,전주,임실,임실(집),177.0,171.0,96.6%
555.0,20260518,전주,장수,장수(집),195.0,156.0,80%
556.0,20260518,전주,전주,삼천(집),967.0,871.0,90.1%
557.0,20260518,전주,전주,완주봉동(집),923.0,889.0,96.3%
558.0,20260518,전주,전주,완주용진(집),427.0,378.0,88.5%
559.0,20260518,전주,전주,전주서신(집),766.0,734.0,95.8%
560.0,20260518,전주,전주,전주효자(집),1521.0,1429.0,94%
561.0,20260518,전주,진안,진안(집),212.0,182.0,85.8%
562.0,20260518,제주,서귀포,대정(집),702.0,582.0,82.9%
563.0,20260518,제주,서귀포,서귀포오토(집),1906.0,1805.0,94.7%
564.0,20260518,제주,서귀포,표선(집),389.0,344.0,88.4%
565.0,20260518,제주,제주,노형(집),1945.0,1922.0,98.8%
566.0,20260518,제주,제주,애월(집),496.0,491.0,99%
567.0,20260518,제주,제주,용담(집),1200.0,1069.0,89.1%
568.0,20260518,제주,제주,제주도남(집),709.0,699.0,98.6%
569.0,20260518,제주,제주,제주한림(집),399.0,305.0,76.4%
570.0,20260518,제주,제주조천,제주아라(집),1094.0,1087.0,99.4%
571.0,20260518,제주,제주조천,조천(집),1443.0,1284.0,89%
572.0,20260518,진주,거제,거제고현(집),898.0,828.0,92.2%
573.0,20260518,진주,거제,거제옥포(집),335.0,330.0,98.5%
574.0,20260518,진주,거제,거제일운(집),125.0,120.0,96%
575.0,20260518,진주,거제2,거제상문(집),481.0,441.0,91.7%
576.0,20260518,진주,거제2,거제중앙(집),496.0,323.0,65.1%
577.0,20260518,진주,거창,거창가조(집),41.0,41.0,100%
578.0,20260518,진주,거창,거창웅양(집),26.0,26.0,100%
579.0,20260518,진주,거창,거창읍(집),640.0,593.0,92.7%
580.0,20260518,진주,고성,고성(집),463.0,428.0,92.4%
