No,일자,택배지점,터미널,집배점,비대면 배송완료 사진 전송 대상 건수,비대면 배송완료 사진 전송 건수,미전송 건수,전송률
346.0,20260518,서산당진,서산,읍내(집),506.0,511.0,-5.0,101%
347.0,20260518,서산당진,태안,태안(집),466.0,515.0,-49.0,110.5%
348.0,20260518,서산당진,홍성,홍성(집),1093.0,1140.0,-47.0,104.3%
349.0,20260518,송파,강남,논현(집),531.0,487.0,44.0,91.7%
350.0,20260518,송파,강남,삼성(집),126.0,144.0,-18.0,114.3%
351.0,20260518,송파,강남,세곡(집),253.0,243.0,10.0,96%
352.0,20260518,송파,강동,강동(집),493.0,556.0,-63.0,112.8%
353.0,20260518,송파,강동,암사(집),613.0,687.0,-74.0,112.1%
354.0,20260518,송파,강동고덕,길동(집),851.0,691.0,160.0,81.2%
355.0,20260518,송파,거여,거여(집),522.0,512.0,10.0,98.1%
356.0,20260518,송파,대치,대치(집),696.0,673.0,23.0,96.7%
357.0,20260518,송파,동서울,신송파(집),582.0,653.0,-71.0,112.2%
358.0,20260518,송파,동서울,장지(집),170.0,186.0,-16.0,109.4%
359.0,20260518,송파,방배,반포(집),268.0,309.0,-41.0,115.3%
360.0,20260518,송파,방배,방배(집),368.0,431.0,-63.0,117.1%
361.0,20260518,송파,서초,서초(집),536.0,673.0,-137.0,125.6%
362.0,20260518,송파,서초,양재(집),179.0,204.0,-25.0,114%
363.0,20260518,송파,송파,가락(집),902.0,998.0,-96.0,110.6%
364.0,20260518,송파,송파석촌,성내(집),525.0,589.0,-64.0,112.2%
365.0,20260518,송파,송파석촌,잠실2(집),435.0,380.0,55.0,87.4%
366.0,20260518,송파,송파오금,오금(집),440.0,518.0,-78.0,117.7%
367.0,20260518,송파,신사,신사(집),221.0,268.0,-47.0,121.3%
368.0,20260518,송파,신사,잠실본동(집),228.0,234.0,-6.0,102.6%
369.0,20260518,송파,역삼,개포(집),708.0,828.0,-120.0,116.9%
370.0,20260518,송파,역삼,역삼(집),335.0,378.0,-43.0,112.8%
371.0,20260518,송파,역삼,역삼1(집),276.0,283.0,-7.0,102.5%
372.0,20260518,송파,잠실,방이(집),359.0,414.0,-55.0,115.3%
373.0,20260518,송파,잠실,송파신천(집),374.0,369.0,5.0,98.7%
374.0,20260518,송파,잠원,수서(집),498.0,574.0,-76.0,115.3%
375.0,20260518,송파,잠원,잠원(집),1043.0,1165.0,-122.0,111.7%
376.0,20260518,송파,천호,천호(집),440.0,434.0,6.0,98.6%
377.0,20260518,수원,남수원,신팔달(집),965.0,892.0,73.0,92.4%
378.0,20260518,수원,남수원,인우(집),787.0,832.0,-45.0,105.7%
379.0,20260518,수원,동수원,권선(집),1030.0,996.0,34.0,96.7%
380.0,20260518,수원,동수원,서권선(집),1162.0,1216.0,-54.0,104.6%
381.0,20260518,수원,동수원,수원구운(집),743.0,743.0,0.0,100%
382.0,20260518,수원,동탄,기산(집),426.0,434.0,-8.0,101.9%
383.0,20260518,수원,동탄,남동탄(집),360.0,409.0,-49.0,113.6%
384.0,20260518,수원,동탄,동탄산척(집),1117.0,1130.0,-13.0,101.2%
385.0,20260518,수원,동탄,신동탄(집),666.0,865.0,-199.0,129.9%
386.0,20260518,수원,동탄병점,동탄(집),617.0,665.0,-48.0,107.8%
387.0,20260518,수원,동탄병점,병점(집),1188.0,1248.0,-60.0,105.1%
388.0,20260518,수원,북수원,수원정자(집),566.0,560.0,6.0,98.9%
389.0,20260518,수원,북수원,수원조원(집),417.0,448.0,-31.0,107.4%
390.0,20260518,수원,북수원,수원천천(집),529.0,575.0,-46.0,108.7%
391.0,20260518,수원,수원,광교(집),926.0,991.0,-65.0,107%
392.0,20260518,수원,수원,매탄(집),861.0,894.0,-33.0,103.8%
393.0,20260518,수원,수원,수원 영통(집),501.0,510.0,-9.0,101.8%
394.0,20260518,수원,수원,신영통(집),737.0,757.0,-20.0,102.7%
395.0,20260518,수원,화성,남양(집),1376.0,1350.0,26.0,98.1%
396.0,20260518,수원,화성,우정(집),490.0,548.0,-58.0,111.8%
397.0,20260518,수원,화성,팔탄(집),361.0,418.0,-57.0,115.8%
398.0,20260518,수원,화성,화성서신(집),340.0,401.0,-61.0,117.9%
399.0,20260518,수원,화성우정,봉담(집),309.0,450.0,-141.0,145.6%
400.0,20260518,수원,화성우정,양감(집),592.0,672.0,-80.0,113.5%
401.0,20260518,수원,화성우정,향남(집),586.0,677.0,-91.0,115.5%
402.0,20260518,순천,고흥,고흥(집),35.0,51.0,-16.0,145.7%
403.0,20260518,순천,고흥,녹동(집),43.0,52.0,-9.0,120.9%
404.0,20260518,순천,곡성,곡성(집),151.0,148.0,3.0,98%
405.0,20260518,순천,광양,광양(집),1878.0,2018.0,-140.0,107.5%
406.0,20260518,순천,구례,구례(집),265.0,281.0,-16.0,106%
407.0,20260518,순천,보성,벌교(집),161.0,128.0,33.0,79.5%
408.0,20260518,순천,보성,보성(집),104.0,52.0,52.0,50%
409.0,20260518,순천,순천,순천매곡(집),1068.0,1128.0,-60.0,105.6%
410.0,20260518,순천,순천,순천해룡(집),1692.0,1880.0,-188.0,111.1%
411.0,20260518,순천,여수,돌산(집),107.0,105.0,2.0,98.1%
412.0,20260518,순천,여수,여수(집),401.0,364.0,37.0,90.8%
413.0,20260518,순천,여수,여수문수(집),700.0,601.0,99.0,85.9%
414.0,20260518,순천,여수,여천(집),1262.0,1302.0,-40.0,103.2%
415.0,20260518,순천,여수,여천학동(집),726.0,574.0,152.0,79.1%
416.0,20260518,순천,여수,한려(집),36.0,39.0,-3.0,108.3%
417.0,20260518,안동,봉화,봉화(집),338.0,132.0,206.0,39.1%
418.0,20260518,안동,안동,안동명륜(집),219.0,201.0,18.0,91.8%
419.0,20260518,안동,안동,안동송현(집),337.0,372.0,-35.0,110.4%
420.0,20260518,안동,안동,안동용상(집),294.0,340.0,-46.0,115.6%
421.0,20260518,안동,영양,영양(집),38.0,44.0,-6.0,115.8%
422.0,20260518,안동,영주,영주조아(집),175.0,152.0,23.0,86.9%
423.0,20260518,안동,영주,영주휴천(집),161.0,175.0,-14.0,108.7%
424.0,20260518,안동,영주,풍기(집),259.0,264.0,-5.0,101.9%
425.0,20260518,안동,예천,예천(집),45.0,83.0,-38.0,184.4%
426.0,20260518,안동,의성,의성(집),332.0,308.0,24.0,92.8%
427.0,20260518,안동,청송,청송(집),85.0,67.0,18.0,78.8%
428.0,20260518,안산,상록,안산고잔(집),953.0,1007.0,-54.0,105.7%
429.0,20260518,안산,상록,안산본오(집),584.0,628.0,-44.0,107.5%
430.0,20260518,안산,상록,안산사동(집),520.0,588.0,-68.0,113.1%
431.0,20260518,안산,상록,안산일동(집),858.0,909.0,-51.0,105.9%
432.0,20260518,안산,시흥,목감(집),335.0,390.0,-55.0,116.4%
433.0,20260518,안산,시흥,성곡(집),1482.0,1692.0,-210.0,114.2%
434.0,20260518,안산,시흥,시흥장현(집),955.0,943.0,12.0,98.7%
435.0,20260518,안산,시흥,안산시흥(집),1071.0,1023.0,48.0,95.5%
436.0,20260518,안산,시흥,정왕(집),411.0,506.0,-95.0,123.1%
437.0,20260518,안산,안산,대부(집),163.0,182.0,-19.0,111.7%
438.0,20260518,안산,안산,선부(집),1505.0,1556.0,-51.0,103.4%
439.0,20260518,양산,김해,김해동(집),669.0,755.0,-86.0,112.9%
440.0,20260518,양산,김해,김해삼계(집),965.0,1045.0,-80.0,108.3%
441.0,20260518,양산,김해,김해신문(집),872.0,917.0,-45.0,105.2%
442.0,20260518,양산,김해,김해율하(집),696.0,728.0,-32.0,104.6%
443.0,20260518,양산,김해,김해주촌(집),236.0,295.0,-59.0,125%
444.0,20260518,양산,김해,김해중앙(집),685.0,752.0,-67.0,109.8%
445.0,20260518,양산,김해,김해진영(집),491.0,528.0,-37.0,107.5%
446.0,20260518,양산,밀양,밀양남(집),274.0,325.0,-51.0,118.6%
447.0,20260518,양산,밀양,밀양북(집),409.0,443.0,-34.0,108.3%
448.0,20260518,양산,양산,양산동면(집),764.0,826.0,-62.0,108.1%
449.0,20260518,양산,양산,양산물금(집),1191.0,1298.0,-107.0,109%
450.0,20260518,양산,양산,양산북정(집),443.0,493.0,-50.0,111.3%
451.0,20260518,양산,양산,웅상(집),787.0,844.0,-57.0,107.2%
452.0,20260518,양산,양산2,부산덕천(집),777.0,842.0,-65.0,108.4%
453.0,20260518,양산,양산2,부산화명(집),959.0,1032.0,-73.0,107.6%
454.0,20260518,양주,동두천,동두천(집),1166.0,1133.0,33.0,97.2%
455.0,20260518,양주,양주,양주회천(집),872.0,952.0,-80.0,109.2%
456.0,20260518,양주,양주,옥정(집),915.0,991.0,-76.0,108.3%
457.0,20260518,양주,양주은현,백석(집),249.0,288.0,-39.0,115.7%
458.0,20260518,양주,양주은현,삼숭(집),564.0,553.0,11.0,98%
459.0,20260518,양주,철원,철원(집),340.0,402.0,-62.0,118.2%
460.0,20260518,양주,포천,포천(집),1052.0,1185.0,-133.0,112.6%
461.0,20260518,용인,기흥,용인고매(집),1347.0,1235.0,112.0,91.7%
462.0,20260518,용인,수지,용인동천(집),442.0,524.0,-82.0,118.6%
463.0,20260518,용인,수지,용인상현(집),1163.0,1393.0,-230.0,119.8%
464.0,20260518,용인,수지,용인죽전(집),394.0,438.0,-44.0,111.2%
465.0,20260518,용인,신기흥,용인신갈(집),1371.0,1063.0,308.0,77.5%
466.0,20260518,용인,신처인,역북(집),433.0,505.0,-72.0,116.6%
467.0,20260518,용인,신처인,용인남사(집),1037.0,1118.0,-81.0,107.8%
468.0,20260518,용인,이천,이천대월(집),420.0,526.0,-106.0,125.2%
469.0,20260518,용인,이천,이천부발(집),1465.0,1447.0,18.0,98.8%
470.0,20260518,용인,이천북,이천백사(집),618.0,922.0,-304.0,149.2%
471.0,20260518,용인,이천북,이천장호원(집),155.0,166.0,-11.0,107.1%
472.0,20260518,용인,처인,포곡(집),1748.0,1913.0,-165.0,109.4%
473.0,20260518,울산,북울산,울산북구(집),1489.0,1360.0,129.0,91.3%
474.0,20260518,울산,온산,언양2(집),250.0,236.0,14.0,94.4%
475.0,20260518,울산,온산,온산(집),666.0,639.0,27.0,95.9%
476.0,20260518,울산,온산,울주온양1(집),35.0,66.0,-31.0,188.6%
477.0,20260518,울산,울산,무거(집),532.0,524.0,8.0,98.5%
478.0,20260518,울산,울산,반구(집),418.0,428.0,-10.0,102.4%
479.0,20260518,울산,울산,삼산(집),1836.0,1960.0,-124.0,106.8%
480.0,20260518,울산,울산달동,달동(집),831.0,955.0,-124.0,114.9%
481.0,20260518,울산,울산동구,울산동구(집),480.0,520.0,-40.0,108.3%
482.0,20260518,울산,울산동구,전하(집),601.0,634.0,-33.0,105.5%
483.0,20260518,울산,울주,언양(집),885.0,927.0,-42.0,104.7%
484.0,20260518,울산,울주,울주온양2(집),172.0,235.0,-63.0,136.6%
485.0,20260518,원주,단양,단양(집),57.0,54.0,3.0,94.7%
486.0,20260518,원주,서원주,지정(집),667.0,721.0,-54.0,108.1%
487.0,20260518,원주,서원주,태장(집),265.0,303.0,-38.0,114.3%
488.0,20260518,원주,여주,여주(집),898.0,985.0,-87.0,109.7%
489.0,20260518,원주,영월,영월(집),106.0,152.0,-46.0,143.4%
490.0,20260518,원주,원주,단계(집),788.0,855.0,-67.0,108.5%
491.0,20260518,원주,원주,단구(집),276.0,319.0,-43.0,115.6%
492.0,20260518,원주,원주,원주관설(집),398.0,454.0,-56.0,114.1%
493.0,20260518,원주,원주,원주문막(집),639.0,680.0,-41.0,106.4%
494.0,20260518,원주,원주,원주중앙(집),213.0,242.0,-29.0,113.6%
495.0,20260518,원주,정선,고한(집),136.0,155.0,-19.0,114%
496.0,20260518,원주,정선,정선(집),325.0,323.0,2.0,99.4%
497.0,20260518,원주,제천,제천장락(집),274.0,280.0,-6.0,102.2%
498.0,20260518,원주,제천,제천중앙(집),440.0,466.0,-26.0,105.9%
499.0,20260518,원주,태백,태백(집),384.0,300.0,84.0,78.1%
500.0,20260518,원주,평창,평창(집),306.0,334.0,-28.0,109.2%
501.0,20260518,원주,횡성,횡성(집),565.0,510.0,55.0,90.3%
502.0,20260518,인천,남인천,인천용현(집),601.0,530.0,71.0,88.2%
503.0,20260518,인천,남인천,인천학익(집),546.0,642.0,-96.0,117.6%
504.0,20260518,인천,남인천,주안(집),434.0,466.0,-32.0,107.4%
505.0,20260518,인천,동인천,간석남(집),198.0,221.0,-23.0,111.6%
506.0,20260518,인천,동인천,간석서(집),347.0,360.0,-13.0,103.7%
507.0,20260518,인천,동인천,고잔(집),53.0,72.0,-19.0,135.8%
508.0,20260518,인천,동인천,인천논현(집),1058.0,1121.0,-63.0,106%
509.0,20260518,인천,동인천,인천동구(집),270.0,297.0,-27.0,110%
510.0,20260518,인천,연수,동춘(집),1263.0,1340.0,-77.0,106.1%
511.0,20260518,인천,연수,송도(집),416.0,447.0,-31.0,107.5%
512.0,20260518,인천,연수,송도국제(집),1442.0,1543.0,-101.0,107%
513.0,20260518,인천,연수,청학(집),303.0,341.0,-38.0,112.5%
514.0,20260518,인천,인천,숭의(집),594.0,630.0,-36.0,106.1%
515.0,20260518,인천,인천,영종도(집),726.0,783.0,-57.0,107.9%
516.0,20260518,인천,인천,인천중구(집),310.0,332.0,-22.0,107.1%
517.0,20260518,인천,인천남동,구월(집),593.0,627.0,-34.0,105.7%
518.0,20260518,인천,인천남동,만수(집),577.0,636.0,-59.0,110.2%
519.0,20260518,일산,성석1(일산),일산마두(집),591.0,650.0,-59.0,110%
520.0,20260518,일산,성석1(일산),일산성석(집),459.0,503.0,-44.0,109.6%
521.0,20260518,일산,성석1(일산),일산장항(집),205.0,253.0,-48.0,123.4%
522.0,20260518,일산,성석1(일산),일산중산(집),442.0,536.0,-94.0,121.3%
523.0,20260518,일산,성석2(덕양),덕양성사(집),415.0,449.0,-34.0,108.2%
524.0,20260518,일산,성석2(덕양),덕양신원(집),700.0,699.0,1.0,99.9%
525.0,20260518,일산,성석2(덕양),덕양원당(집),200.0,203.0,-3.0,101.5%
526.0,20260518,일산,성석2(덕양),덕양지축(집),384.0,351.0,33.0,91.4%
527.0,20260518,일산,성석2(덕양),덕양토당(집),357.0,421.0,-64.0,117.9%
528.0,20260518,일산,성석2(덕양),덕양화정(집),989.0,1106.0,-117.0,111.8%
529.0,20260518,일산,성석2(덕양),향동(집),149.0,128.0,21.0,85.9%
530.0,20260518,일산,일산서구,대화(집),624.0,668.0,-44.0,107.1%
531.0,20260518,일산,일산서구,일산덕이(집),1058.0,1104.0,-46.0,104.3%
532.0,20260518,일산,일산서구,일산중앙(집),574.0,631.0,-57.0,109.9%
533.0,20260518,일산,주교(은평),갈현(집),515.0,583.0,-68.0,113.2%
534.0,20260518,일산,주교(은평),불광(집),398.0,436.0,-38.0,109.5%
535.0,20260518,일산,주교(은평),은평신사(집),362.0,410.0,-48.0,113.3%
536.0,20260518,일산,주교(은평),진관(집),342.0,335.0,7.0,98%
537.0,20260518,일산,파주,금촌(집),651.0,751.0,-100.0,115.4%
538.0,20260518,일산,파주,파주광탄(집),456.0,524.0,-68.0,114.9%
539.0,20260518,일산,파주,파주조리(집),714.0,756.0,-42.0,105.9%
540.0,20260518,일산,파주운정,동패(집),1029.0,1098.0,-69.0,106.7%
541.0,20260518,일산,파주운정,운정(집),833.0,946.0,-113.0,113.6%
542.0,20260518,전주,군산,군산수송(집),414.0,445.0,-31.0,107.5%
543.0,20260518,전주,군산,군산조촌(집),656.0,486.0,170.0,74.1%
544.0,20260518,전주,군산,군산지곡(집),1167.0,1248.0,-81.0,106.9%
545.0,20260518,전주,김제,김제(집),752.0,857.0,-105.0,114%
546.0,20260518,전주,남원,남원(집),456.0,484.0,-28.0,106.1%
547.0,20260518,전주,덕진,금암(집),1165.0,1221.0,-56.0,104.8%
548.0,20260518,전주,덕진,송천(집),742.0,829.0,-87.0,111.7%
549.0,20260518,전주,덕진,호성(집),787.0,810.0,-23.0,102.9%
550.0,20260518,전주,서천,서천(집),288.0,333.0,-45.0,115.6%
551.0,20260518,전주,익산,익산모현(집),940.0,1014.0,-74.0,107.9%
552.0,20260518,전주,익산,익산어양(집),804.0,866.0,-62.0,107.7%
553.0,20260518,전주,익산,평화(집),824.0,903.0,-79.0,109.6%
554.0,20260518,전주,임실,임실(집),116.0,134.0,-18.0,115.5%
555.0,20260518,전주,장수,장수(집),145.0,146.0,-1.0,100.7%
556.0,20260518,전주,전주,삼천(집),749.0,800.0,-51.0,106.8%
557.0,20260518,전주,전주,완주봉동(집),753.0,829.0,-76.0,110.1%
558.0,20260518,전주,전주,완주용진(집),293.0,338.0,-45.0,115.4%
559.0,20260518,전주,전주,전주서신(집),550.0,602.0,-52.0,109.5%
560.0,20260518,전주,전주,전주효자(집),1057.0,1187.0,-130.0,112.3%
561.0,20260518,전주,진안,진안(집),111.0,125.0,-14.0,112.6%
562.0,20260518,제주,서귀포,대정(집),683.0,684.0,-1.0,100.1%
563.0,20260518,제주,서귀포,서귀포오토(집),1568.0,1847.0,-279.0,117.8%
564.0,20260518,제주,서귀포,표선(집),374.0,343.0,31.0,91.7%
565.0,20260518,제주,제주,노형(집),1674.0,1485.0,189.0,88.7%
566.0,20260518,제주,제주,애월(집),486.0,497.0,-11.0,102.3%
567.0,20260518,제주,제주,용담(집),919.0,926.0,-7.0,100.8%
568.0,20260518,제주,제주,제주도남(집),626.0,629.0,-3.0,100.5%
569.0,20260518,제주,제주,제주한림(집),349.0,337.0,12.0,96.6%
570.0,20260518,제주,제주조천,제주아라(집),977.0,975.0,2.0,99.8%
571.0,20260518,제주,제주조천,조천(집),1299.0,1343.0,-44.0,103.4%
572.0,20260518,진주,거제,거제고현(집),806.0,873.0,-67.0,108.3%
573.0,20260518,진주,거제,거제옥포(집),261.0,296.0,-35.0,113.4%
574.0,20260518,진주,거제,거제일운(집),118.0,121.0,-3.0,102.5%
575.0,20260518,진주,거제2,거제상문(집),236.0,272.0,-36.0,115.3%
576.0,20260518,진주,거제2,거제중앙(집),276.0,311.0,-35.0,112.7%
577.0,20260518,진주,거창,거창가조(집),17.0,16.0,1.0,94.1%
578.0,20260518,진주,거창,거창웅양(집),8.0,10.0,-2.0,125%
579.0,20260518,진주,거창,거창읍(집),80.0,112.0,-32.0,140%
580.0,20260518,진주,고성,고성(집),335.0,324.0,11.0,96.7%
581.0,20260518,진주,남해,남해(집),334.0,344.0,-10.0,103%
582.0,20260518,진주,사천,사천사남(집),320.0,334.0,-14.0,104.4%
583.0,20260518,진주,사천,사천읍(집),289.0,316.0,-27.0,109.3%
584.0,20260518,진주,사천,삼천포(집),306.0,336.0,-30.0,109.8%
585.0,20260518,진주,산청,산청단성(집),109.0,108.0,1.0,99.1%
586.0,20260518,진주,산청,산청읍(집),8.0,11.0,-3.0,137.5%
587.0,20260518,진주,진주,진주금산(집),479.0,481.0,-2.0,100.4%
588.0,20260518,진주,진주,진주대안(집),256.0,244.0,12.0,95.3%
589.0,20260518,진주,진주,진주상대(집),343.0,386.0,-43.0,112.5%
590.0,20260518,진주,진주,진주초전(집),506.0,542.0,-36.0,107.1%
591.0,20260518,진주,진주,진주충무공(집),675.0,735.0,-60.0,108.9%
592.0,20260518,진주,진주,진주칠암(집),210.0,225.0,-15.0,107.1%
593.0,20260518,진주,진주,진주평거(집),184.0,240.0,-56.0,130.4%
594.0,20260518,진주,하동,하동(집),124.0,156.0,-32.0,125.8%
595.0,20260518,진주,함양,함양수동(집),220.0,193.0,27.0,87.7%
596.0,20260518,진주,함양,함양안의(집),64.0,75.0,-11.0,117.2%
597.0,20260518,진주,합천,합천(집),288.0,110.0,178.0,38.2%
598.0,20260518,창원,마산,마산가포(집),288.0,341.0,-53.0,118.4%
599.0,20260518,창원,마산,마산내서(집),1085.0,1137.0,-52.0,104.8%
600.0,20260518,창원,마산,마산양덕(집),661.0,1017.0,-356.0,153.9%
601.0,20260518,창원,마산,마산진동(집),251.0,267.0,-16.0,106.4%
602.0,20260518,창원,마산,마산회성(집),506.0,542.0,-36.0,107.1%
603.0,20260518,창원,의령,의령(집),177.0,144.0,33.0,81.4%
604.0,20260518,창원,진해,진해용원(집),905.0,779.0,126.0,86.1%
605.0,20260518,창원,진해,진해중앙(집),469.0,408.0,61.0,87%
606.0,20260518,창원,창녕,창녕(집),578.0,666.0,-88.0,115.2%
607.0,20260518,창원,창원,동읍(집),809.0,843.0,-34.0,104.2%
608.0,20260518,창원,창원,창원북면(집),444.0,431.0,13.0,97.1%
609.0,20260518,창원,창원,창원사파(집),285.0,308.0,-23.0,108.1%
610.0,20260518,창원,창원,창원상남(집),829.0,891.0,-62.0,107.5%
611.0,20260518,창원,창원,창원신촌(집),536.0,634.0,-98.0,118.3%
612.0,20260518,창원,창원,창원중앙(집),1356.0,1408.0,-52.0,103.8%
613.0,20260518,창원,통영,통영용남(집),323.0,312.0,11.0,96.6%
614.0,20260518,창원,통영,통영중앙(집),619.0,371.0,248.0,59.9%
615.0,20260518,창원,함안,함안(집),736.0,807.0,-71.0,109.6%
616.0,20260518,천안,동천안,목천(집),765.0,799.0,-34.0,104.4%
617.0,20260518,천안,동천안,병천(집),189.0,202.0,-13.0,106.9%
618.0,20260518,천안,동천안,신방(집),564.0,630.0,-66.0,111.7%
619.0,20260518,천안,동천안,신부(집),602.0,654.0,-52.0,108.6%
620.0,20260518,천안,동천안,천안구성(집),770.0,822.0,-52.0,106.8%
621.0,20260518,천안,아산,공수(집),583.0,652.0,-69.0,111.8%
622.0,20260518,천안,아산,둔포(집),668.0,763.0,-95.0,114.2%
623.0,20260518,천안,아산,모종(집),751.0,790.0,-39.0,105.2%
624.0,20260518,천안,아산,북수(집),1306.0,1424.0,-118.0,109%
625.0,20260518,천안,아산,신창(집),617.0,701.0,-84.0,113.6%
626.0,20260518,천안,아산,탕정(집),1088.0,1224.0,-136.0,112.5%
627.0,20260518,천안,예산,신예산(집),856.0,834.0,22.0,97.4%
628.0,20260518,천안,천안,두정(집),437.0,490.0,-53.0,112.1%
629.0,20260518,천안,천안,불당(집),1368.0,1465.0,-97.0,107.1%
630.0,20260518,천안,천안,성환(집),383.0,435.0,-52.0,113.6%
631.0,20260518,천안,천안,직산(집),711.0,792.0,-81.0,111.4%
632.0,20260518,천안,천안,천안백석(집),1003.0,1011.0,-8.0,100.8%
633.0,20260518,청주,괴산,괴산(집),836.0,819.0,17.0,98%
634.0,20260518,청주,보은,보은(집),332.0,63.0,269.0,19%
635.0,20260518,청주,서청주,복대(집),1779.0,1872.0,-93.0,105.2%
636.0,20260518,청주,서청주,비하(집),350.0,387.0,-37.0,110.6%
637.0,20260518,청주,서청주,송절(집),1150.0,1154.0,-4.0,100.3%
638.0,20260518,청주,서청주,수곡(집),426.0,479.0,-53.0,112.4%
639.0,20260518,청주,서청주,오송(집),1244.0,1335.0,-91.0,107.3%
640.0,20260518,청주,음성,금왕(집),822.0,862.0,-40.0,104.9%
641.0,20260518,청주,음성,맹동(집),494.0,422.0,72.0,85.4%
642.0,20260518,청주,진천,덕산(집),799.0,893.0,-94.0,111.8%
643.0,20260518,청주,진천,진천(집),458.0,510.0,-52.0,111.4%
644.0,20260518,청주,청주,내덕(집),948.0,1020.0,-72.0,107.6%
645.0,20260518,청주,청주,미원(집),852.0,904.0,-52.0,106.1%
646.0,20260518,청주,청주,오창(집),1352.0,1489.0,-137.0,110.1%
647.0,20260518,청주,청주,우암(집),554.0,601.0,-47.0,108.5%
648.0,20260518,청주,충주,동량(집),558.0,612.0,-54.0,109.7%
649.0,20260518,청주,충주,주덕(집),869.0,963.0,-94.0,110.8%
650.0,20260518,청주,충주,호암(집),428.0,474.0,-46.0,110.7%
651.0,20260518,춘천,가평,가평(집),1100.0,1384.0,-284.0,125.8%
652.0,20260518,춘천,양구,양구(집),253.0,271.0,-18.0,107.1%
653.0,20260518,춘천,인제,인제(집),438.0,415.0,23.0,94.7%
654.0,20260518,춘천,춘천,춘천남산(집),250.0,271.0,-21.0,108.4%
655.0,20260518,춘천,춘천,춘천동내(집),656.0,669.0,-13.0,102%
656.0,20260518,춘천,춘천,춘천중앙(집),932.0,972.0,-40.0,104.3%
657.0,20260518,춘천,춘천,춘천퇴계(집),1191.0,1229.0,-38.0,103.2%
658.0,20260518,춘천,춘천,효자(집),362.0,373.0,-11.0,103%
659.0,20260518,춘천,홍천,홍천(집),759.0,725.0,34.0,95.5%
660.0,20260518,춘천,화천,화천(집),277.0,294.0,-17.0,106.1%
661.0,20260518,평택,남안성,공도(집),1792.0,1988.0,-196.0,110.9%
662.0,20260518,평택,남안성,안성(집),905.0,883.0,22.0,97.6%
663.0,20260518,평택,송탄,서탄(집),1036.0,1132.0,-96.0,109.3%
664.0,20260518,평택,송탄,송탄(집),793.0,862.0,-69.0,108.7%
665.0,20260518,평택,안중,고덕(집),1516.0,1665.0,-149.0,109.8%
666.0,20260518,평택,안중,평택청북(집),1082.0,1165.0,-83.0,107.7%
667.0,20260518,평택,오산,오산고현(집),568.0,561.0,7.0,98.8%
668.0,20260518,평택,오산,오산중앙(집),984.0,1074.0,-90.0,109.1%
669.0,20260518,평택,평택,비전(집),794.0,868.0,-74.0,109.3%
670.0,20260518,평택,평택,용이(집),728.0,767.0,-39.0,105.4%
671.0,20260518,평택,평택,평택지제(집),829.0,854.0,-25.0,103%
672.0,20260518,포항,경주,보문(집),1538.0,1540.0,-2.0,100.1%
673.0,20260518,포항,경주,황성(집),169.0,180.0,-11.0,106.5%
674.0,20260518,포항,남경주,감포(집),378.0,345.0,33.0,91.3%
675.0,20260518,포항,남경주,안강(집),763.0,576.0,187.0,75.5%
676.0,20260518,포항,영덕,영덕(집),300.0,277.0,23.0,92.3%
677.0,20260518,포항,영덕,후포(집),106.0,47.0,59.0,44.3%
678.0,20260518,포항,울진,울진(집),166.0,172.0,-6.0,103.6%
679.0,20260518,포항,울진,죽변(집),226.0,156.0,70.0,69%
680.0,20260518,포항,포항,기계(집),84.0,84.0,0.0,100%
681.0,20260518,포항,포항,오천(집),941.0,1091.0,-150.0,115.9%
682.0,20260518,포항,포항,포항중앙(집),533.0,535.0,-2.0,100.4%
683.0,20260518,포항,포항,효곡(집),827.0,868.0,-41.0,105%
684.0,20260518,포항,포항북구,구룡포(집),54.0,75.0,-21.0,138.9%
685.0,20260518,포항,포항북구,양덕(집),640.0,677.0,-37.0,105.8%
686.0,20260518,포항,포항북구,울릉(집),239.0,145.0,94.0,60.7%
687.0,20260518,포항,포항북구,포항북구(집),559.0,597.0,-38.0,106.8%
688.0,20260518,포항,포항북구,흥해(집),712.0,733.0,-21.0,102.9%
689.0,20260518,하남,구리,구리(집),1304.0,1322.0,-18.0,101.4%
690.0,20260518,하남,구리사노1(광진),광장(집),122.0,142.0,-20.0,116.4%
691.0,20260518,하남,구리사노1(광진),구의(집),510.0,520.0,-10.0,102%
692.0,20260518,하남,구리사노1(광진),군자(집),303.0,335.0,-32.0,110.6%
693.0,20260518,하남,구리사노1(광진),자양(집),381.0,343.0,38.0,90%
694.0,20260518,하남,구리사노1(광진),중곡(집),267.0,301.0,-34.0,112.7%
695.0,20260518,하남,미사,교산(집),13.0,17.0,-4.0,130.8%
696.0,20260518,하남,미사,미사(집),613.0,666.0,-53.0,108.6%
697.0,20260518,하남,미사,미사중앙(집),270.0,289.0,-19.0,107%
698.0,20260518,하남,성동,금호(집),500.0,386.0,114.0,77.2%
699.0,20260518,하남,성동,성수(집),461.0,446.0,15.0,96.7%
700.0,20260518,하남,성동,왕십리(집),115.0,135.0,-20.0,117.4%
701.0,20260518,하남,성동,행당(집),129.0,186.0,-57.0,144.2%
702.0,20260518,하남,하남,감일(집),194.0,224.0,-30.0,115.5%
703.0,20260518,하남,하남,덕풍(집),359.0,395.0,-36.0,110%
704.0,20260518,하남,하남,하남신장(집),505.0,492.0,13.0,97.4%
